Label,char_count,word_count,title_word_count,stopword_count,upper_case,subjectivity,polarity,noun_count,conjuction_count,adjective_count,pronoun_count,adverb_count,prepositions_count,verb_count
Real,1616,271,13,44,49,0.44570707070707066,-0.09677033492822966,79,26,16,22,19,7,60
Real,8196,1358,9,80,204,0.5491990680064074,0.003985960522657774,416,150,123,90,45,35,269
Real,3533,609,7,57,188,0.4339132061354285,0.053095772540216975,205,50,51,68,21,12,144
Real,5213,908,7,77,132,0.5060030481378796,0.1293490685344618,265,98,104,82,49,33,195
Real,1980,317,13,44,93,0.3299595332204027,0.15158102766798418,123,41,29,15,20,9,59
Real,14819,2508,14,94,416,0.4777715395715397,0.08519466089466088,804,266,188,208,144,62,514
Real,3888,673,14,67,101,0.4802093368290552,0.09671102371806599,205,89,65,41,49,23,139
Real,5079,802,14,47,255,0.4632172791747259,0.08251128304319792,327,95,49,21,25,28,143
Real,5518,864,15,69,175,0.3637015989475005,0.025149031296572286,357,118,53,39,30,20,167
Real,2141,381,9,46,95,0.4145538720538721,0.0628198653198653,130,38,26,12,25,19,69
Real,2386,397,17,48,103,0.4603535353535354,-0.04235690235690237,160,47,26,22,12,13,86
Real,2196,372,4,46,53,0.3924329501915708,0.0386015325670498,123,43,36,17,13,11,55
Real,13761,2443,11,95,370,0.4506312902127632,0.04187975900587509,678,306,238,152,117,78,479
Real,4701,797,9,71,158,0.4705873806558738,0.1808862598588626,260,100,63,68,37,26,136
Real,7577,1144,13,76,307,0.4723077234292186,0.04943085730468905,491,132,111,36,53,35,203
Real,3488,617,12,71,118,0.454936507936508,0.16593650793650794,170,79,43,57,42,14,117
Real,3590,620,6,74,141,0.3277039497969729,-0.021197858988556667,171,71,56,67,31,26,155
Real,3870,690,6,61,140,0.5615135732323233,0.2095565025252525,196,78,34,82,30,22,146
Real,4479,789,8,69,119,0.4184960990045736,0.08732849071832123,243,85,67,88,35,26,148
Real,3538,593,8,59,122,0.4181952380952381,0.1676452380952381,224,95,44,24,31,6,104
Real,12512,2105,9,91,296,0.4700674684242101,0.08127209089287737,671,268,179,158,113,65,392
Real,7257,1224,11,90,276,0.4455439131575496,0.052963318247409165,382,129,86,91,62,43,249
